,Document
0,"Providing reasonable accommodation for an employee with a disability starts with an active, confidential interactive process between the employee and the organization. Initiate discussion when a request is made or when a barrier to performance or participation is observed. The goal is to identify barriers, explore feasible modifications, and implement solutions that enable the employee to perform essential job functions without imposing an undue hardship on the operation. Policies should clearly state a commitment to accommodation, protect against retaliation, and keep medical information confidential, sharing only what is necessary for the accommodation.

A broad range of accommodations can be considered, depending on the role and individual needs. Examples include flexible or modified schedules, telework or hybrid arrangements, adjustments to duties or workload, ergonomic workstations, assistive technologies, captioning or sign-language interpretation, materials in alternative formats, and temporary leaves or job coaching. In safety-critical roles, modifications should preserve essential safety requirements, and if current duties cannot be adjusted, reassignment to a vacant, suitable position may be explored. Each accommodation plan should be documented with the agreed solution, expected duration, and a plan for periodic review and adjustment.

Implementation should be supported by clear governance and ongoing education. Appoint a dedicated accommodations liaison or HR partner to coordinate requests, provide manager training on inclusive decision-making, and ensure confidentiality and non-retaliation. Invest in accessible facilities and digital tools, and monitor outcomes through metrics such as time to accommodation, employee retention, and satisfaction. Regular policy reviews and feedback from employees help ensure compliance with applicable laws and evolving best practices, while also strengthening a culture of inclusion."
1,"George II reigned as King of Great Britain and Ireland from 11 June 1727 until his death on 25 October 1760, a period of 33 years, 4 months, and 14 days.

The era saw the consolidation of cabinet government and the primacy of ministers in running the state, with major conflicts including the War of the Austrian Succession, the 1745 Jacobite rising (culminating in 1746), and the early years of the Seven Years' War. Notably, he personally led troops at the Battle of Dettingen in 1743, the last time a reigning British monarch commanded troops in battle.

Born in Hanover, Germany, George II was the last British monarch to be born outside Great Britain; the throne then passed to his grandson George III in 1760 after his death and the earlier death of his son Frederick. The reign thus marks a transitional period in the constitutional development of the British monarchy."
2,"Elephant Island lies in the Southern Ocean as part of the South Shetland Islands, off the northwest coast of the Antarctic Peninsula. It is located just north of the main Antarctic landmass, with the Bransfield Strait separating it from the peninsula. In geographical terms, it sits in the northern reaches of the region commonly associated with Antarctica, in cold, often rough waters near the edge of the Drake Passage.

The island is uninhabited and rugged, known for its steep cliffs, ice, and wildlife such as penguins and seals. It has historical significance from the era of Antarctic exploration: in 1916, Ernest Shackleton and his men found refuge there after their ship Endurance was crushed. After several months on the island, a rescue voyage from South Georgia eventually reached safety. Today, Elephant Island falls under the Antarctic Treaty System and is primarily visited by researchers and expedition cruises rather than permanent settlements."
3,"Regent's Canal stretches about 8.6 miles (14 kilometres) from Paddington Basin in the west to Limehouse Basin on the River Thames in the east. It forms an eastern arm of the Grand Union Canal network, linking central London with the wider British canal system and providing a scenic waterway across north and east London.

Constructed in the early 19th century, the canal opened in 1820 to support industrial traffic and later evolved into a beloved leisure route. Along its course it passes through notable areas such as Regent's Park, Camden Town, Islington and Hackney, with a series of locks and basins that add variety to the journey. Today, the towpaths are popular for walking and cycling, and the canal remains busy with leisure boats; maintenance and management are handled by the Canal & River Trust."
4,"Frankie Muse Freeman was a pioneering American civil rights attorney based in St. Louis, Missouri, whose long career helped dismantle segregation and expand access to education, housing, and public services. Her work bridged local organizing and national legal strategy, placing Missouri at the forefront of the fight for equal rights as the civil rights movement grew. She is celebrated as a trailblazer who opened doors for Black women in the legal profession and for the broader effort to secure constitutional rights for African Americans.

As a leading figure with the NAACP and other civil rights organizations, Freeman championed cases and policy efforts aimed at desegregation in schools and public life, and at challenging discriminatory practices in housing and employment. Her leadership and advocacy contributed to the development of legal strategies that modernized civil rights jurisprudence and helped ensure greater equality under the law. Her influence extended beyond courtroom wins to mentoring younger lawyers and building durable networks of supporters and activists.

The legacy of Frankie Muse Freeman lies in both her concrete achievements and her example as a persistent, principled advocate for justice. She embodies the crucial role of lawyers in the civil rights movement and the impact of local leadership on national progress. Her career continues to inspire current and future generations of Black women in law, public service, and civil rights work, reminding historians and students of the enduring power of determined, strategic advocacy in advancing racial equality."
5,"Three people were killed in the 2023 Nottingham attacks. The incident occurred in Nottingham city centre and involved a stabbing spree, with a suspect detained by police at the scene.

Official investigations and extensive media coverage followed, detailing the fatalities and subsequent legal proceedings. For precise information on victims, the identity of the suspect, and any sentencing outcomes, consult statements from Nottinghamshire Police and reliable news outlets (such as the BBC or The Guardian), which provide the most up-to-date and verifiable details."
6,"Garuda Indonesia flies to roughly 60 destinations worldwide, combining a substantial domestic network within Indonesia with a number of international routes. The exact count is not fixed, as it changes with new route launches, seasonal schedules, and suspensions. The network is centered on Jakarta as the main hub, with additional international connections that complement the domestic coverage.

International routes typically span Asia-Pacific, the Middle East, and select destinations in Europe and Australia when services are active. Because schedules and approvals evolve, the published list of destinations can shift over time. For the most current count and a complete list of destinations, consult Garuda Indonesia’s official Destinations page or the latest timetable and press releases.

As a related note, airline networks are influenced by factors such as fleet availability, market demand, and government air-service agreements. Garuda Indonesia often expands or adjusts its routes in response to these conditions, including through codeshare partnerships that can extend the effective network beyond the airline’s own scheduled destinations."
7,"Adult male nilgai (bulls) typically weigh about 260–320 kg (570–710 lb), with some individuals reaching around 340 kg (750 lb) in favorable conditions. Adult females (cows) are smaller, usually weighing about 170–240 kg (375–530 lb). Weights can vary based on age, nutrition, habitat, and regional population differences.

Weight in nilgai is highly variable due to factors such as age and body condition; well-nourished animals in productive habitats tend to be heavier, while those in harsher environments or with less forage will weigh less. The pronounced size difference between sexes is a key characteristic, with males generally heavier and more robust as they mature."
8,"There is no widely documented national Japanese politician by the name Wataru Sumida in major public records. The name could refer to a local or lesser-known figure, or it may be a case of different spelling or transliteration. Without kanji for the name or a region and timeframe, it is difficult to pinpoint a specific position with certainty.

To identify the exact political position, providing the kanji characters for the name or additional context (region, city, or year) would help. In Japan, political roles can range from national legislators (members of the House of Representatives or House of Councillors) to prefectural or municipal officials (assembly members, mayors, governors) or party positions. Useful sources for verification include the official websites of the National Diet (for national lawmakers), the respective prefectural or municipal assemblies, and credible news outlets. If the reference concerns a local figure, checking the ward or city’s official site (for example, Tokyo’s Sumida Ward, if applicable) may reveal an assembly member or local official with a similar name.

If more details become available—such as the correct kanji, the approximate region, or the time period—provision can be made to identify the exact office held. In the meantime, exploring possible spellings and consulting official government rosters will typically yield a precise answer."
9,"Issawi Frej is a member of Meretz, the left-wing, social-democratic, Zionist party in Israel. He has served as a Knesset member representing Meretz and held the cabinet post of Minister of Regional Cooperation in the Bennett-Lapid government from 2021 to 2022.

Meretz emphasizes civil rights, equality for all citizens, the separation of religion and state, and a pursuit of a two-state solution with the Palestinians. Frej’s work has centered on Arab-Israeli rights, minority participation, and regional development within the framework of Meretz’ platform. Party affiliations can shift over time, so for the latest status, checking current sources is recommended."
10,"Andriy Voronin was typically deployed as a striker, serving as the central forward in most of his club career and in appearances where he was used as the primary goal threat.

In different tactical setups, he could also operate as a supporting forward or second striker, depending on the system and the needs of the team. The role generally emphasized finishing, movement off the ball, and holding up play to link with teammates in the final third."
11,"There are multiple individuals named Roger Cecil in public records, including at least one British artist. Without identifying which Roger Cecil is meant (by profession, nationality, or notable works), the exact age at death cannot be confirmed from available information.

Providing additional context will allow a precise answer. If the intended figure’s birth year or death year, or a distinguishing detail (such as a notable artwork or institution associated with them), is known, that can be used to calculate the age. The standard method is to subtract the birth year from the death year, adjusting for whether the birthday had occurred yet in the year of death. Obituaries, artist biographical databases, or museum records are reliable sources to verify such details."
12,"The Legislative Assembly of Ontario is composed of 124 Members of Provincial Parliament (MPPs), each representing one of Ontario’s 124 electoral districts (ridings).

These members sit in the Assembly at Queen’s Park in Toronto. The party with the most seats forms the government, while the others form the opposition or become independents as seats change through by-elections or future redistributions. The current total of 124 seats has been in effect since the 2018 redistribution."
13,"There isn’t a widely recognized manga published under the exact English title ""Dilemma of Two Angels"" in major manga databases, so the creator isn’t readily identifiable. It could be a mistranslation or alternative title, a very obscure or indie work, a webtoon, a doujinshi, or a work from a non-Japanese market. If more details are available—such as the original Japanese title, the year of release, the publisher, or a link to where it’s listed—it would be possible to pinpoint the creator more accurately.

To help verify, try searching with several variations: the original Japanese title (if known), potential English aliases like ""Angels' Dilemma"" or ""Two Angels' Dilemma,"" and the publisher or serialization magazine. Check databases such as MyAnimeList, AniList, MangaUpdates, and ComicVine, as well as platform-specific catalogs (e.g., Shonen Jump for mainstream titles, LINE Manga for webtoons). If it’s a small press, indie, or fan-translation, it may not appear in larger catalogs; providing a link or a description of the artwork or characters can also help narrow it down."
14,"Brazil won the 1993 FIFA U-17 World Championship, held in Japan. This edition was part of the early history of the competition, which has since evolved into the FIFA U-17 World Cup and serves as a major platform for young talent from around the world.

The tournament highlighted rising stars who often progress to senior international play, and Brazil has historically been a strong performer in youth competitions. For full details, including the final match score, runner-up, and individual top scorers, FIFA’s official archives or the tournament page on Wikipedia provide comprehensive records."
15,"A chemical change is when matter is transformed into a different substance with new properties. In a chemical change, the atoms break old bonds and form new ones, so the material you started with is not just altered in shape or size—it becomes something new. Often this new substance cannot be turned back to the original by simple physical steps.

Common signs of a chemical change include a color change, a temperature change, the formation of a gas (bubbles), the appearance of a solid from a liquid (precipitate), or a new smell or light given off. Everyday examples include iron rusting, wood burning, baking a cake, or milk turning sour. These are all ways that substances react with each other or with the environment to create something different.

This is different from a physical change, which only changes form or appearance without making a new substance (like melting ice or tearing paper). Some chemical changes can be reversed with another reaction, but many cannot be easily undone. Understanding chemical changes helps explain many processes around food, fire, weathering, and biology."
16,"Fontenay-sous-Bois is a commune in the Val-de-Marne department, Île-de-France, located on the eastern edge of Paris. The population is on the order of about 54,000 residents, based on the latest widely cited figures.

Official counts come from INSEE and are published as population municipale (as of January 1 of the most recent year). These numbers are updated annually and can vary slightly due to births, deaths, and migration. For the exact current figure, the INSEE population database or the commune’s own demographic publications provide the precise number.

In addition to the population, the city is characterized by a dense urban fabric, good rail connections (including the RER), and a multicultural mix typical of the Paris metropolitan area. If a historical trend or a comparison with nearby towns is of interest, those details can be provided as well."
17,"According to U.S. Census Bureau population estimates, Crestwood, Missouri is home to roughly 8,000 residents. Population figures are updated periodically, so this figure reflects the most recent official estimates available.

For the exact current number and the year of the estimate, the Census Bureau’s QuickFacts for Crestwood city, Missouri provides the precise figure. Crestwood is a small suburban city in St. Louis County, part of the St. Louis metropolitan area, with a residential character and ties to nearby communities."
18,"Harry Reid International Airport has four runways: 7L/25R, 7R/25L, 1L/19R, and 1R/19L.

The runways are arranged in two parallel pairs, oriented roughly east–west (the 7/25 pair) and north–south (the 1/19 pair). This layout provides flexibility for operations under different wind conditions and accommodates high traffic by allowing multiple simultaneous takeoffs and landings.

Renamed Harry Reid International Airport in 2021 (formerly McCarran International Airport), it serves the Las Vegas area as a major gateway for both domestic and international travelers. The facility includes multiple terminals and concourses to support a high volume of passengers and a wide range of airlines and destinations."
19,"Elisa Lam, a 21-year-old Canadian student, vanished while staying at the Cecil Hotel in downtown Los Angeles in late January 2013. On February 19, 2013, hotel staff found her body inside a rooftop water tank after guests complained about discolored water and an off taste. The tank's access hatch had been opened and Lam’s body was recovered by maintenance personnel.

The Los Angeles County Department of Medical Examiner-Coroner concluded the death was an accidental drowning, with no signs of trauma or foul play. Toxicology testing did not reveal any drugs or alcohol in her system. The finding was that the manner of death was accidental, though the peculiar circumstances surrounding Lam’s last known movements and the hotel’s notorious history have fueled ongoing speculation and discussion.

The case gained widespread attention partly due to surveillance footage from the hotel elevator showing Lam exhibiting unusual behavior shortly before her disappearance. The footage and the surrounding mystery have been the subject of extensive media coverage and later documentary treatments, contributing to the case’s enduring notoriety despite the official ruling."
20,"Winfield Dunn belonged to the Republican Party. He served as the 37th Governor of Tennessee from 1971 to 1975, becoming the first Republican to hold that office since the Reconstruction era.

His election signaled a significant political shift in Tennessee and the broader South during that period, as the Republican Party expanded its reach in state governments. Additional details about his early life, policy priorities while in office, or later career can be explored if needed."
21,"Two seasons of Bridgerton have been released to date. Season 1 debuted on December 25, 2020, and Season 2 premiered on March 25, 2022.

Season 3 and Season 4 have been officially renewed, but no premiere dates have been announced as of mid-2024. The series continues to expand the Bridgerton universe, with production timelines vary­ing and future installments expected to explore new storylines within the Bridgerton world. In addition to the main series, a separate limited series, Queen Charlotte: A Bridgerton Story, was released in 2023 and serves as a prequel within the same universe.

For the latest updates, Netflix and Shondaland announcements provide current information on release schedules and titles. If desired, a quick overview of each season’s premise or a look at the broader Bridgerton universe can be provided."
22,"Pineville, Missouri is a small city with a population on the order of about 1,500 residents. The exact figure can vary slightly from year to year due to new estimates and small changes in population.

Located in the southwestern corner of the state, Pineville serves as the county seat of McDonald County and reflects the rural character of the region. For the precise, official number from the most recent census or annual estimates, the U.S. Census Bureau’s QuickFacts for Pineville city, Missouri provides the current figure."
23,"Toledo, Iowa is a small city in Tama County and serves as the county seat. The population is in the low thousands, with recent counts placing it around 3,000 residents.

For the exact current figure, the most reliable source is the U.S. Census Bureau. The 2020 census provides the official count, and subsequent QuickFacts estimates give a sense of how the population has changed in the early 2020s. In addition to the official numbers, local government and community organizations can offer more up-to-date or neighborhood-level data. Toledo’s size is typical of many small Midwestern towns, balancing a historic downtown with a close-knit community and steady local services."
24,"Supporters of National-Anarchism describe their beliefs as a synthesis of libertarian, anti-statist principles with ethnonationalist aims. They claim to oppose centralized state power, traditional party politics, and global capitalism, arguing for a bottom‑up, voluntary order built from small, autonomous communities. Key elements often cited are direct democracy or consensus within those communities, federations of communes, and a strong emphasis on local self-government, mutual aid, and cooperative economics organized without a state or hierarchical authority.

A central concept in their self‑presentation is ethnopluralism or cultural self‑determination: the idea that distinct cultures or ethnic groups should exist separately within their own areas in order to preserve diversity and reduce conflict. This translates into a call for ethnically or culturally homogeneous communities with the freedom to govern themselves according to their own customs and traditions, rather than being integrated into a single, multicultural political system. They frame this as a defense of cultural heritage and voluntary association, and often critique liberal cosmopolitanism and multiculturalism as destructive to community integrity. Alongside anti‑statism and anti‑globalization, they frequently articulate a critique of capitalism and imperialism, while advocating for decentralized economies based on voluntary cooperation rather than state or market centralization. 

Note: in broader discourse, National-Anarchism is highly controversial and widely associated with racist and fascist ideologies in practice. Scholars and many anti‑fascist and anarchist groups argue that the movement uses anarchist vocabulary to promote ethnonationalist and exclusionary goals, and that its emphasis on ethnic separation stands in tension with core anarchist commitments to universal liberty and solidarity."
25,"The year-round population of Île de Batz is very small, typically around 100 residents. In winter the number is smaller, while in summer the population swells with seasonal residents and visitors who stay on the island for短 periods or come for day trips.

Located off the coast of Brittany in the Finistère department, the island is reachable by a regular ferry from Roscoff, with crossings generally on the order of 15–20 minutes. Notable features include the Jardin Exotique de l’Île de Batz, a historic lighthouse, and several sandy beaches that give the island its tranquil, village-like character. The local economy centers on tourism, fishing, and horticulture, and the community is known for its small-town atmosphere and scenic cycling routes around the coastline."
26,"The current flag of Montana was officially adopted in 1905 by the Montana Legislature. The adoption marked the establishment of the blue field bearing the state seal as Montana’s official banner.

The flag features a blue field with the Great Seal of Montana at its center. The seal includes symbols representing the state's mining and agricultural heritage and mountainous landscape, along with the motto Oro y Plata (Gold and Silver). The words ""State of Montana"" are arranged around the seal, making the flag a recognizable emblem of the state’s identity."
27,"There isn’t a single, widely recognized public figure named Christine Philip. The name could refer to a private individual or be a misspelling or variation of similar names such as Christine Phillips, Christina Philip, or Christine Philippe. Without additional context, it’s not possible to identify a specific person with confidence.

To narrow it down, provide a bit more detail about the context in which the name appeared (profession, country, time period, or a source you saw it in). In the meantime, consider these search approaches: check spelling variants and related names, look up the person in reliable sources related to the field (for example, Wikipedia or official organizational pages for public figures, IMDb for actors, LinkedIn for professionals, or library and newspaper archives for biographical information). If the reference is to a character in a book or film, identifying the work (title, author, or director) will help locate the correct Christine Philip or determine if it’s a fictional figure."
28,"Stevens County is a rural county located in the southwestern part of Kansas, with Hugoton as the county seat. The population is small and concentrated in a few towns rather than spread across the entire county.

As of the latest available estimates, the county has about 4,900 residents. For the exact figure and the year of the estimate, consult the U.S. Census Bureau QuickFacts for Stevens County, Kansas. The QuickFacts page provides the most current population estimates and can be a reliable source for any updates."
29,"John Carradine fathered nine children in total, across several marriages and relationships. Among his offspring, three became particularly well known in acting: David Carradine, Keith Carradine, and Robert Carradine, who all achieved fame in film and television.

The remaining children pursued a variety of paths, with some staying out of the public eye. The Carradine surname thus developed into a wider acting family, with the next generations continuing to be associated with performance and the entertainment industry."
30,"Noah Baumbach is best known for creating intimate, character-driven indie dramas and comedies that quietly dissect relationships, family dynamics, and the anxieties of urban life. His work pairs dry, perceptive humor with frank emotional honesty, often focusing on intelligent, self-conscious protagonists navigating love, career, and family tensions. The breakout moment came with The Squid and the Whale (2005), a semi-autobiographical drama about divorce and parent-child dynamics that earned him widespread critical notice and an Academy Award nomination for Best Original Screenplay.

Beyond that breakthrough, Baumbach has built a reputation for sharply observed storytelling in films such as Margot at the Wedding, Greenberg, While We're Young, and The Meyerowitz Stories. He is also widely associated with his collaborations with Greta Gerwig, notably Frances Ha (2012), which helped define a shared voice rooted in naturalistic dialogue, awkward humor, and flawed, relatable characters. More recently, he directed the Netflix release White Noise (2022), an adaptation of Don DeLillo’s novel that reflects his ongoing interest in the complexities of modern life and relationships.

In a broader sense, Baumbach is regarded as a leading figure in contemporary American independent cinema, known for merging intimate, personal storytelling with sharper social and generational observations. His films often center on the tensions between ambition and reality, the pull between family obligations and personal identity, and the humor found in ordinary, imperfect lives set against urban backdrops."
31,"Villeseque-des-Corbieres is a small commune in the Aude department of southern France. The population is in the low hundreds, with the number of residents typically around a few hundred people.

Population figures for French communes are published by INSEE and updated regularly, with small fluctuations due to births, deaths, and migration. For a precise count and the year it refers to, consult INSEE’s population data for Villeseque-des-Corbieres or the commune’s official publications. If needed, historical trends show relatively steady numbers with modest changes over time."
32,"Adamu Adamu served as Nigeria’s Minister of Education from 2015 until 2022, during President Muhammadu Buhari’s administration. The tenure spanned Buhari’s first term and into his second, ending with a cabinet reshuffle in 2022.

During the period, the minister oversaw various education-sector initiatives and policy discussions aimed at improving access to education, university infrastructure, and curriculum alignment amid ongoing funding challenges. For precise start and end dates, official government records or the Federal Ministry of Education archives can provide exact dates."
33,"The Pontifical Catholic University of Rio de Janeiro (PUC-Rio) enrolls roughly 15,000 students in total, including both undergraduate and graduate programs. This figure can vary from year to year and depends on whether full-time, part-time, or only degree-seeking students are included.

PUC-Rio is centered on its main campus in the Gávea neighborhood of Rio de Janeiro and offers programs across a wide range of fields, including humanities, engineering, business, health, and social sciences. It is a private Catholic university with a strong emphasis on research and international partnerships. For the most current enrollment numbers, consult the university’s official annual report or statistics page on the PUC-Rio website."
34,"Jerzens is a small municipality in the Austrian state of Tyrol, located in the Imst district. The population is approximately 1,300 residents, placing it in the range typical for rural Tyrolean communities.

The area is known for its alpine scenery and tourism, with the Hochzeiger ski area nearby contributing to winter tourism as a major local attraction, alongside agriculture and forestry as important regional activities. Jerzens comprises several small settlements and preserves a traditional Tyrolean village character amid mountain landscapes.

For the exact current figure, consult official sources such as Statistik Austria (the national statistics office) or the Tiroler Landesstatistik, as well as the Jerzens municipal website, which publish up-to-date population data."
35,"The Province of Naples was abolished in 2014 and replaced by the Metropolitan City of Naples. In the years immediately prior to abolition, the population was about 3.1 million people (ISTAT estimates for 2012–2013).

The transition kept the same geographic territory, but changed the administrative structure to a metropolitan city with a metropolitan mayor and council. Population figures continue to be in the vicinity of three million, varying by year; for an exact number, ISTAT’s annual population estimates by year are the best source."
36,"St. Ansgar is a small city in Mitchell County, Iowa, with a population of about 1,600 residents. Population sizes in towns of this size tend to be fairly stable year to year, with minor fluctuations due to births, deaths, and migration.

The most precise official counts come from the U.S. Census Bureau. The decennial census and subsequent annual estimates place St. Ansgar’s population in the mid- to high-1,600s in recent years, though exact figures vary slightly between releases. For the exact current number, the Census Bureau’s QuickFacts page for St. Ansgar, Iowa provides the latest figure and additional demographic details.

In addition to population, several related aspects help paint a fuller picture of the community. St. Ansgar offers a small-town atmosphere with local schools, small businesses, and community events that reflect its character. If more specifics are desired—such as the latest year-by-year change or age distribution—that information is available through Census Bureau profiles and local government resources."
